Reference,Author,Date,Timestamp,Lines_Updated,Author_Comment
r1551925,Thomas,2015-11-27,16:57:44,1,Renamed folder to the correct name
r1551575,Thomas,2015-11-27,09:46:32,1,Removed unused webview.plan.management and webview_plan_management properties
r1551569,Vincent,2015-11-27,09:38:09,1,enable all clients
r1551558,Thomas,2015-11-27,09:13:26,1,Chnaged jira url to htps
r1551504,/OU=Domain Control Validated/CN=svn.company.net,2015-11-27,07:05:41,1,[gradle-release] prepare for next development iteration
r1551486,Vincent,2015-11-27,06:10:10,1,SFR-108 : preparing release for SFR
r1551485,Vincent,2015-11-27,06:06:30,1,SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.
r1551375,Vincent,2015-11-26,15:01:51,1,SFR-108 : androidM related strings added.
r1551347,Vincent,2015-11-26,14:35:32,1,SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer
r1551334,Vincent,2015-11-26,14:20:12,1,SFR-108 : using WL base & snc urls
r1551332,Vincent,2015-11-26,14:17:48,4,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync enabled correctly. 
r1551313,Vincent,2015-11-26,13:58:15,4,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync disabled. It was not a correct way. 
r1551307,Thomas,2015-11-26,13:48:29,1,Removed AMX specific layouts.
r1551294,Vincent,2015-11-26,13:30:16,4,SFR-108 : Help Foother can be configured by enable_help_footer. for SFR it is disabled.  
r1551249,Vincent,2015-11-26,12:16:06,5,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync enabled.  
r1551248,Vincent,2015-11-26,12:15:26,5,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- reverted --> actionbar color & background  
r1551105,Thomas,2015-11-26,09:17:08,1,FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.
r1551061,Vincent,2015-11-26,07:33:33,3,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- actionbar color & background
r1550863,Thomas,2015-11-25,16:42:06,1,Changed cloudsdkVersion to '1.0.22.10'
r1550724,Thomas,2015-11-25,14:17:42,1,Changed jira url to https
r1550591,Thomas,2015-11-25,11:29:15,3,Reverted back: FTRPC-500: Frontier Android || Inconsistencey in My Activity screen Client used systemAttribute name="Creation-Date" instead of versionCreated as version created.
r1550580,Thomas,2015-11-25,11:15:27,1,Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo
r1550503,Thomas,2015-11-25,09:26:22,1,Changed splash screen as requested
r1550097,Vincent,2015-11-24,14:41:53,3,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- three dots. "..."
r1550089,Thomas,2015-11-24,14:28:19,2,FTRPC-500: Frontier Android || Inconsistencey in My Activity screen Client used systemAttribute name="Creation-Date" instead of versionCreated as version created.
r1550060,Vincent,2015-11-24,13:58:25,4,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- 1) strings-array fixed 2) "AMX Cloud" replaced by "SFR Cloud"
r1550046,Vincent,2015-11-24,13:42:26,4,SFR-108 : Create bilingual French/English translated Android application for SFR ----------- 1) added text & assets from ux branch 2) fixed compilation errors.
r1549398,Thomas,2015-11-23,16:32:45,1,Updated jira port number to 8443
r1549355,/OU=Domain Control Validated/CN=svn.company.net,2015-11-23,15:34:21,1,[gradle-release] prepare for next development iteration
r1549331,Thomas,2015-11-23,15:20:49,1,FTRPC-497: Frontier Android || Difference in the branding icon in push notifications
r1549294,Jimmy,2015-11-23,15:02:18,2,New contacts nab version Homescreen update
r1549111,Thomas,2015-11-23,11:46:06,1,Fix crash on the boot complete
r1548946,Vincent,2015-11-23,05:50:12,5,FTRPC-304 : Frontier - Default Backups Settings to be ON --------------- instant upload was enabled for all data classes by vivek. Instant upload only for Contacts and Photos will be ON. 
r1548632,Thomas,2015-11-20,16:36:17,1,FTRPC-309: Frontier - Report Abuse is ON
r1548595,Thomas,2015-11-20,15:43:36,1,Put dontwarn for android.provider.** to fix snapshot build
r1548398,Thomas,2015-11-20,13:06:04,1,Enabled com.android.support:support-v4-internal_impl
r1548384,Thomas,2015-11-20,12:57:08,1,FTRPC-381: Add Android M Support to Handset Client
r1548364,Thomas,2015-11-20,12:42:14,2,FTRPC-381: Add Android M Support to Handset Client Copying resouces from att-m branch
r1548358,Thomas,2015-11-20,12:40:31,2,FTRPC-381: Add Android M Support to Handset Client Copying resources from att-m branch
r1548357,Thomas,2015-11-20,12:39:03,2,FTRPC-381: Add Android M Support to Handset Client Copying resources from att-m branch
r1548355,Thomas,2015-11-20,12:37:26,2,FTRPC-381: Add Android M Support to Handset Client Copying resources from att-m
r1548352,Thomas,2015-11-20,12:35:47,2,FTRPC-381: Add Android M Support to Handset Client Copying resources from att-m branch
r1548350,Thomas,2015-11-20,12:33:51,2,FTRPC-381: Add Android M Support to Handset Client Copy resources from att-m branch
r1548342,Thomas,2015-11-20,12:28:01,2,FTRPC-381: Add Android M Support to Handset Client Moving ui/permission classes from at-m branch
r1548336,Thomas,2015-11-20,12:26:32,2,FTRPC-381: Add Android M Support to Handset Client Moving model/permission classes from att-m branch
r1547894,/OU=Domain Control Validated/CN=svn.company.net,2015-11-19,16:41:58,1,[gradle-release] prepare for next development iteration
r1547749,Freddie,2015-11-19,13:53:23,2,- fix a mime-type issue when uploading a file - use the latest Cloud SDK 1.0.8 branch version to fix issues with upload not resuming + send the Creation-Date attribute at DV-Attach phase (if provided)
r1547748,Jimmy,2015-11-19,13:51:15,1,Enabled all modules
r1547738,Jimmy,2015-11-19,13:35:41,1,FTRPC-191 - Removed call logs and messages from home screen rendering
r1547683,Jimmy,2015-11-19,12:26:49,1,Homescreen merge from at&t branch
r1547493,Vincent,2015-11-19,06:31:05,4,FTRPC-304 : Frontier - Default Backups Settings to be ON --------------- +Instant upload for Contacts and Photos will be ON. 
r1546917,Vincent,2015-11-18,09:06:34,3,FTRPC-336 : Frontier Android || TV beaming option does not appear inspite of cast receivers available ----------- chrome_cast_support_feature= true. enabled on Frontier.
r1546493,/OU=Domain Control Validated/CN=svn.company.net,2015-11-17,15:38:50,1,[gradle-release] prepare for next development iteration
r1546460,Vincent,2015-11-17,14:56:49,3,FTRPC-416 : [FTR Android Client]Android Prod Build is pointed to API server ------------- reverted changes of Revision: 1545628
r1546414,Thomas,2015-11-17,14:09:45,7,Merged from android-15.2-solutions-att-m PHONE-2017: PHONE-2019: Android - Timeline Search in Month Folder Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798] PHONE-2061: Phone 2.0 - Favorited Documents is not showing up under favorite tile. [from revision 1544784] PHONE-2082: Phone - Cannot unfav a doc from documents view Merged from trunk: ANDINTL-3420 Ability to unfavorite files on mobile [from revision 1545058] Fixed FTRPC-410: Frontier - Favorited Documents is not showing up under favorite tile.
r1545714,/OU=Domain Control Validated/CN=svn.company.net,2015-11-16,15:35:27,1,[gradle-release] prepare for next development iteration
r1545674,Jimmy,2015-11-16,14:47:41,1,Reverted to older cloud sdk
r1545670,Jimmy,2015-11-16,14:40:00,1,Reverted to older cloud sdk
r1545663,Jimmy,2015-11-16,14:35:39,1,Changed minSDK
r1545657,Jimmy,2015-11-16,14:30:47,1,Dropped SDK version
r1545652,Jimmy,2015-11-16,14:26:50,1,UPdated
r1545628,Jimmy,2015-11-16,13:45:04,1,Added sfr module
r1544560,Dave,2015-11-12,20:10:20,1,fix the build for the jacoco agent warnings
r1544422,Jimmy,2015-11-12,15:48:11,1,FRT only
r1544421,Jimmy,2015-11-12,15:47:49,1,Fixed unit test
r1544404,Jimmy,2015-11-12,15:31:13,1,Fixed unit test
r1544362,Jimmy,2015-11-12,14:37:08,1,Modified test
r1544360,Jimmy,2015-11-12,14:31:35,1,Modified test
r1544350,Jimmy,2015-11-12,14:27:36,1,Modified app Target version
r1544342,Jimmy,2015-11-12,14:16:04,1,FTRPC-119
r1544339,Jimmy,2015-11-12,14:11:02,1,FTRPC-119
r1544282,Thomas,2015-11-12,11:44:34,3,Merged from android-15.2-solutions-att-m PHONE-2017: PHONE-2019: Android - Timeline Search in Month Folder Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798]
r1544253,Thomas,2015-11-12,10:32:06,2,Merged from android-15.2-solutions-att-m PHONE-2008: Phone 2.0 - Photos/ Songs/ Documents fonts should be bold on home screen. [from revision 1543831]
r1544250,Thomas,2015-11-12,10:27:58,5,Merged from android-15.2-solutions-att-m PHONE-2035: Android M - After deleting a photo from the album, photos count does not match the number displayed on the albums page Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231]Merged from android-15.2-solutions-att-m PHONE-2035: Android M - After deleting a photo from the album, photos count does not match the number displayed on the albums page Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231]
r1541334,Vincent,2015-11-05,16:31:34,5,FTRPC-337 : Frontier - Sim Contacts Import - DisabledFTRPC- --------------- frontier configured with enable_sim_contacts_import = false. default value of this varibale is true for all projects. 
r1540927,Vincent,2015-11-04,20:47:04,4,FTRPC-304 : Frontier - Default Backups Settings to be ON --------------- configured with enable_select_all_data_classes_initially = true default value of this varibale is false for all projects.
r1540926,Vincent,2015-11-04,20:34:30,5,FTRPC-332 : Content anywhere crashes ---------------- Seems like, it is a device specific issue. There is no "Content Anywhere" account created in [android device --> settings --> accounts --> Content Anywhere]. I have fixed ArrayIndexoutOfBounds issue. No_Sync issue is still there.
r1540834,Vincent,2015-11-04,16:37:55,3,FTRPC-309 : Frontier - Report Abuse is ON ---------------- report abuse is disabled for Frontier android client.
r1540809,Vincent,2015-11-04,16:15:14,3,FTRPC-303: Frontier - Invitation is ON -------------- invitation is now disabled on Frontier android.
r1540172,Jimmy,2015-11-03,14:59:39,1,Enabled all clients
r1540168,/OU=Domain Control Validated/CN=svn.company.net,2015-11-03,14:50:34,1,[gradle-release] prepare for next development iteration
r1540148,Jimmy,2015-11-03,14:35:14,1,Frontier
r1539956,Jimmy,2015-11-03,10:32:49,1,Added carriage return
r1539933,Thomas,2015-11-03,09:59:13,1,Return imports
r1539930,Thomas,2015-11-03,09:57:23,1,PHONE-1855: Phone - Android Prod Cannot Switch Account
r1539664,ajon0002,2015-11-02,15:15:35,1,add string widget_header_update_text, containing generic update message for HomeScreenWidget ViewFlipper TextView.
r1539662,ajon0002,2015-11-02,15:13:19,6,Add private List<Count> countsDelta. Add constructor with Matrix parameter. Add getter and setter for countsDelta.  New constructor calls existing constructor, plus populates countsDelta. TODO is to hold counts delta per Count.type, instead of in a List, as this is last stop for delta before passing to Intent, which must be as Strings, so do the iterating here.
r1539659,ajon0002,2015-11-02,15:09:41,3,Add private List<Count> countsDelta. Populated from CountsMerge.delta on Matrix.updateMediaType call. Holds delta on Counts between this matrix and previous matrix.
r1539656,ajon0002,2015-11-02,15:06:09,4,Add logic onUpdate such that visibility of placeholder logo and viewflipper are toggled. ViewFlipper flips every 5 seconds between logo and update message ("New content...")/ After 60s visibility of the VF and placeholder logo are reversed, stopping the animation. TODO: switch generic update message to "X new photos, Y new files..." from Matrix delta.
r1539654,ajon0002,2015-11-02,15:02:56,2,Add DELTA contstants such that Intent sent to HomeScreenWidget can hold delta counts for widet update message. These are not currently used.
r1539651,ajon0002,2015-11-02,15:00:59,1,Make HomeScreenWidget vertically resizeable.
r1539648,ajon0002,2015-11-02,15:00:06,2,Add placeholder ImageView, containing operator logo and invisible ViewFlipper. VF containts logo and TextView for update msg. Visibility toggled on update.
r1539645,ajon0002,2015-11-02,14:58:00,2,Reinstate sendBroadcast, called in notifyOnUpdate. Initialises ACTION_UPDATE_COUNT intent and sends broadcast for HomeScreenWidget.
r1539640,ajon0002,2015-11-02,14:55:02,3,Add private ArrayList<Count> delta to store difference between incoming and in memory counts. Add setter updateDelta, called in append method. Add getter for delta.
r1539452,Thomas,2015-11-02,11:38:15,1,AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans
r1539443,Thomas,2015-11-02,11:32:59,1,Changed to the frontier prod endpoints
r1539019,Thomas,2015-10-30,16:07:02,1,Disabled buddy sync for amx cient
r1538990,Thomas,2015-10-30,15:30:32,1,Removed default settings
r1538828,Jimmy,2015-10-30,12:22:31,1,Homescreen merge
r1538795,Thomas,2015-10-30,11:13:31,1,Set up dev and prod to amxpc labs
r1538793,Thomas,2015-10-30,11:09:24,1,Set up qa to amxpc-api
r1538454,Thomas,2015-10-29,15:24:47,2,Updated cloudsdkVersion to '1.0.8.25' PHONE-1759: Error "WiFi Connection is Lost" during initial backup while connected to WiFi
r1538444,Thomas,2015-10-29,15:13:29,1,FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files
r1538425,Thomas,2015-10-29,14:49:23,1,Fixed typo
r1538416,Thomas,2015-10-29,14:38:14,1,Fixed typo
r1538410,Thomas,2015-10-29,14:30:41,2,FTRPC-153: Frontier Android Tablet || User able to create dupliacte albums with same name Merged from main line: Fixed ANDINTL-3815 User is able to create two or more albums with the same name.
r1538393,Thomas,2015-10-29,13:55:08,1,FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files
r1538367,Thomas,2015-10-29,13:12:13,1,Remove empty dirs
r1538359,Thomas,2015-10-29,13:03:24,1,FTRPC-152: Frontier Android Tablet || "Available Offline" is been displayed when user multi select time line photos(select Monts)
r1538288,Thomas,2015-10-29,11:30:26,1,Removed qa_wl builds
r1538283,Thomas,2015-10-29,11:25:18,1,FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them
r1538264,Jimmy,2015-10-29,10:59:57,1,BTPC-70
r1538234,Jimmy,2015-10-29,10:05:43,1,FTRPC-191
r1538198,Thomas,2015-10-29,08:46:06,1,Moved id splash_parent to ids.xml
r1537920,Thomas,2015-10-28,15:10:05,2,FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier Missed file
r1537919,Thomas,2015-10-28,15:07:07,1,Uopdated ignores
r1537915,Thomas,2015-10-28,15:02:17,1,FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier
r1537911,Thomas,2015-10-28,14:57:51,1,Added ignores
r1537697,Jimmy,2015-10-28,09:36:03,1,Removed client-att and mct-att
r1537528,Vincent,2015-10-27,18:12:29,1,FTRPC-199 : Frontier Android || Instead of "All Files", "Files" is displaying in Hamburger menu
r1537485,Jimmy,2015-10-27,16:58:28,1,Removed client-att and mct-att
r1537460,Jimmy,2015-10-27,16:28:16,1,Enabled spanishclaros and telcel clients
r1537454,Jimmy,2015-10-27,16:04:20,1,Added telcel folder
r1537452,Jimmy,2015-10-27,16:01:15,1,Added spanishclaros folder
r1537319,Vincent,2015-10-27,13:15:19,2,FTRPC-159 : Frontier Android || "Favorite" is displayed when user selects Folders from 'All Files' section 
r1536385,Jimmy,2015-10-23,17:03:31,1,Lint fix
r1536330,Jimmy,2015-10-23,16:07:36,1,Lint fix
r1536312,Jimmy,2015-10-23,15:53:51,1,Legacy app uninstall
r1536311,Jimmy,2015-10-23,15:53:31,1,Legacy app uninstall
r1536126,Jimmy,2015-10-23,13:40:49,1,Legacy app uninstall
r1536118,Jimmy,2015-10-23,13:30:01,1,Legacy app uninstall
r1536037,Jimmy,2015-10-23,11:57:54,1,Lint fix
r1536002,Jimmy,2015-10-23,10:59:01,1,Reverted to prod urls
r1535957,Jimmy,2015-10-23,10:00:03,1,Added incompatibilty fragment
r1535594,Jimmy,2015-10-22,14:42:26,1,Lint fix
r1535593,Jimmy,2015-10-22,14:40:39,1,Added incpmpatible legacy client parameter
r1535587,Jimmy,2015-10-22,14:35:31,1,Lint fix
r1535571,Jimmy,2015-10-22,14:23:01,1,Removed unused resources
r1535537,Jimmy,2015-10-22,14:08:58,1,lint fix
r1535523,Jimmy,2015-10-22,13:52:30,1,Enabled BT module
r1535517,Jimmy,2015-10-22,13:42:47,1,BT Addition
r1535516,Jimmy,2015-10-22,13:36:58,1,Widget colors
r1535453,Jimmy,2015-10-22,11:26:04,1,Widget
r1535452,Jimmy,2015-10-22,11:25:35,1,Widget
r1535451,Jimmy,2015-10-22,11:25:18,1,Widget
r1533128,Thomas,2015-10-16,11:55:48,2,Merge from android-15.2-solutions-att PHONE-1409: Phone - Scheduled Maintenance Not Working as Expected
r1533115,Thomas,2015-10-16,11:32:58,1,FTRPC-117: Frontier Android Handset || App icon is not matching as per Branding parameters
r1533097,Thomas,2015-10-16,11:13:18,1,Added AMXPC jira project to jira report
r1533092,Thomas,2015-10-16,11:04:56,1,Updated build files to support Jira reports per clients
r1532755,Thomas,2015-10-15,16:50:56,2,FTRPC-118: Frontier Android Handset || About screen is loading forever 
r1532018,Jimmy,2015-10-14,14:51:25,1,Widget update
r1532015,Jimmy,2015-10-14,14:49:17,1,Widget update
r1531912,Jimmy,2015-10-14,12:50:27,1,Re enabled client modules
r1531903,Jimmy,2015-10-14,12:40:19,1,Spike for app removal
r1531479,Thomas,2015-10-13,15:54:58,4,Merge from android-15.2-solutions-att PHONE-1665: Phone Customer Reported Issue - Carousel Issues on Tablet Added titles for wizard 
r1530186,/OU=Domain Control Validated/CN=svn.company.net,2015-10-09,14:34:54,1,[gradle-release] prepare for next development iteration
r1530155,Thomas,2015-10-09,13:58:14,1,Bumped version to 15.2.30.18
r1530104,Jimmy,2015-10-09,12:52:44,1,Disabled at&t module
r1530087,Jimmy,2015-10-09,12:30:40,1,Lint fix
r1530077,Jimmy,2015-10-09,12:10:54,1,Added new homescreen
r1530022,Thomas,2015-10-09,11:17:08,1,Added lint ignores
r1530019,Thomas,2015-10-09,11:09:59,1,Added lint ignores
r1529976,Thomas,2015-10-09,10:13:54,1,Updated strings
r1529934,Thomas,2015-10-09,09:24:07,1,Revert back some assets
r1529923,Thomas,2015-10-09,09:06:45,1,Added qa and qa_wl build types, renamed app.
r1529916,Thomas,2015-10-09,08:55:33,1,Updated assets
r1529913,Thomas,2015-10-09,08:53:15,1,Removed unused resources
r1529617,Thomas,2015-10-08,14:55:59,2,Set prod end point: http://confluence.company.net:8085/display/PRO/Frontier+PC+PROD
r1529611,Thomas,2015-10-08,14:49:55,1,Enabled client-frt client
r1529597,Thomas,2015-10-08,14:38:16,1,Copy to android-15.2-solutions
r1528989,Thomas,2015-10-07,15:19:21,1,PHONE-1420: CLONE - [15.2]The first file thumbnail is not dispalyed properly in landscape mode
r1528947,Thomas,2015-10-07,14:44:23,1,Updated more strings
r1528925,Thomas,2015-10-07,14:23:29,1,Simplified app versioning
r1528923,Thomas,2015-10-07,14:19:38,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon
r1528922,Thomas,2015-10-07,14:19:14,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon
r1528797,Thomas,2015-10-07,11:06:28,1,Remove att permission from manifest
r1528782,Thomas,2015-10-07,10:45:54,2,Merged from trunk: ANDINTL-3163 - enable the application to be installed on top of Ready 2 Go and Verizon cloud
r1528452,Thomas,2015-10-06,16:15:27,1,Enabled client-amx client
r1528449,Thomas,2015-10-06,16:07:38,1,Fixed NPE for amx client, changed amx client name
r1528422,Thomas,2015-10-06,15:36:53,1,Added ignores
r1528416,Thomas,2015-10-06,15:28:51,1,Implements HelpFragment.Callback
r1528414,Thomas,2015-10-06,15:27:59,1,Added help_fragment_icon.png
r1528412,Thomas,2015-10-06,15:26:10,1,Added help fragment colors
r1528411,Thomas,2015-10-06,15:23:31,2,Merged from android-15.2-solutions-amx Help CR: http://confluence.company.net:8085/display/CSE/Titans+Android+Help+CR [from revision 1520497]
r1528409,Thomas,2015-10-06,15:21:35,1,Merge fragment_help.xml from amx branch
r1528404,Thomas,2015-10-06,15:18:18,1,Merge HelpFragment.java from amx branch
r1528397,Thomas,2015-10-06,15:13:00,1,Merged from android-15.2-solutions-amx branch
r1527179,Thomas,2015-10-02,16:23:05,2,Merged from android-15.2-solutions-att PHONE-1415: CLONE - [15.2][PC] Screen rotates at some pages even though auto-rotation is OFF in device.
r1527029,Thomas,2015-10-02,13:24:26,2,Merged from android-15.2-solutions-att PHONE-1529: ATT Android || The file which is downloading for Available offline, if canceled not playing even with wifi [from revision 1527022]
r1526939,Thomas,2015-10-02,10:15:40,2,Merged from android-15.2-solutions-att PHONE-1342: Phone - Rename a Photo in an Album using the Web Returns Error Getting Info on Handset [from revision 1526937]
r1526558,Thomas,2015-10-01,13:25:23,1,PHONE-1377: Phone 2.0 - All files - Folder - Get info - Failure
r1526549,Jimmy,2015-10-01,13:18:27,1,Added lint suppress
r1526501,Jimmy,2015-10-01,12:29:00,1,Added handling for R2G
r1525171,Jimmy,2015-09-29,14:08:40,1,Added handling for R2G
r1525124,Jimmy,2015-09-29,12:49:38,1,Added settings as a main activity to launch
r1525067,Jimmy,2015-09-29,11:55:33,1,Lint fix
r1525056,Jimmy,2015-09-29,11:50:00,1,Added custom permission to receiver
r1525043,Jimmy,2015-09-29,11:36:56,1,Lint fix
r1525032,Jimmy,2015-09-29,11:31:00,1,Added r2g permission
r1525020,Jimmy,2015-09-29,11:22:15,1,Added R2G config
r1524333,Jimmy,2015-09-28,11:47:57,1,Modified broadcast receiver for R2G
r1523786,Thomas,2015-09-25,14:35:53,1,PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.
r1523768,Jimmy,2015-09-25,14:15:11,1,Initial addition for R2G classes
r1523643,Jimmy,2015-09-25,11:35:42,1,CR023: Phone globe for the mobile client splash screen
r1521833,Thomas,2015-09-22,14:23:03,1,Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited
r1520473,Jimmy,2015-09-18,14:08:32,1,Auth failure error codes
r1520031,Thomas,2015-09-17,15:02:43,1,PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker
r1519600,Thomas,2015-09-16,15:05:40,1,Removed &amp;#160;
r1519555,Thomas,2015-09-16,14:19:18,1,PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.
r1519330,Jimmy,2015-09-16,08:42:42,1,PHONE-1318
r1517160,/OU=Domain Control Validated/CN=svn.company.net,2015-09-10,17:34:36,1,[gradle-release] prepare for next development iteration
r1516858,Jimmy,2015-09-10,11:03:36,1,PHONE-1318
